gen,min,max,mean,median,std,time
82,-48391.0,128.0,-4302.4,-2886.0,3907.76,12.119981527328491
83,-38386.0,128.0,-4182.13,-2883.0,3933.3,12.099831342697144
84,-39406.0,128.0,-4050.16,-2880.0,3877.61,11.962391376495361
85,-39897.0,129.0,-3933.44,-2389.0,3876.4,12.01979398727417
86,-44894.0,129.0,-3867.97,-2385.0,3918.78,11.827297687530518
87,-44398.0,129.0,-3768.68,-2383.0,3932.75,12.003600120544434
88,-49902.0,130.0,-3691.54,-2381.0,3986.91,11.680663585662842
89,-52398.0,130.0,-3589.74,-2377.0,3962.05,11.73830795288086
90,-51903.0,130.0,-3527.57,-1886.0,3997.59,11.692401647567749
91,-53411.0,130.0,-3419.93,-1884.0,3959.5,11.486670970916748
92,-42390.0,132.0,-3344.76,-1882.0,4001.77,11.544864892959595
93,-42897.0,132.0,-3224.73,-1880.0,3944.64,11.517836093902588
94,-49898.0,132.0,-3120.26,-1876.0,3932.18,11.563809871673584
95,-45903.0,132.0,-3067.6,-1385.0,3985.05,11.399961471557617
96,-42888.0,132.0,-3017.93,-1383.0,4001.64,11.2563316822052
97,-40385.0,132.0,-2916.98,-1381.0,4009.53,11.237131118774414
98,-37887.0,132.0,-2773.89,-1379.0,3906.56,11.275084972381592
99,-41389.0,132.0,-2708.11,-1376.0,3938.17,11.362192630767822
100,-45906.0,132.0,-2651.41,-885.0,3993.89,11.239151000976562
101,-44403.0,132.0,-2559.08,-881.0,3989.49,11.080669403076172
102,-43397.0,132.0,-2461.73,-878.0,3997.92,10.640425443649292
103,-51384.0,132.0,-2365.63,-876.0,3976.98,11.027685165405273
104,-39885.0,132.0,-2248.08,-873.0,3947.67,11.018111944198608
105,-45392.0,132.0,-2174.71,-379.0,3958.8,10.785861253738403
